Short Field Name,LOCAL_ID,UNIQUE_ID,SRCE_OR_RF,ORGTST_LAB,ORGLB_ID,ORGLB_JOB,AN_TECH_OR,AN_COM_ORG,REPNO_ORG,TOTREP_ORG,TESTDT_ORG,TESTDAY_OR,TESTMO_OR,TESTYR_OR,TVS_EP_PCT,TVS_EPA_Q,TVS_ND_PCT,VS_NED_PCT,VS_NED_Q,O_G_PCT,O_G_UGG,O_AND_G_Q,O_AND_G_DL,PHCTOT_PCT,PHCTOT_UGG,PHC_Q,PHC_DL,PCB_T_UGG,PCB_TOT_Q,PCB_TOT_DL,DDT_T_NGG,DDT_TOT_Q,DDT_TOT_DL,DDE_T_NGG,DDE_TOT_Q,DDE_TOT_DL,DDD_T_NGG,DDD_TOT_Q,DDD_TOT_DL,PEST_UG_G,PEST_TOT_Q,PEST_T_DL,PAHTOT_PCT,PAHTOT_UGG,PAH_Q,PAH_DL,LIPIDS_NGG,OTHERS,CLOST_SP_G,CLOSTR_Q,CLOSTR_DL,MBT_C,MBT_Q,MBT_D,DBT_C,DBT_Q,DBT_D,TBT_C,TBT_Q,TBT_D,TTBT_C,TTBT_Q,TTBT_D
NA,743,US00012,"Metcalf & Eddy, 1984, Original source unknown",LYCO,10273J,NA,NA,NA,1,NA,NA,NA,NA,NA,10,%,NA,NA,NA,NA,5810,MG/G,NA,NA,NA,NA,NA,NA,NA,NA,76.5,NG/G DW; is an average of two results for this sample: 55ng/g and 98ng/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,744,US00013,"Metcalf & Eddy, 1984, Original source unknown",NA,10297B,NA,NA,NA,1,1,NA,NA,NA,NA,9.5,%,NA,NA,NA,NA,7370,MG/KG,NA,NA,NA,NA,NA,105,NG/G DW,0.105,33,NG/G DW,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,745,US00014,"Metcalf & Eddy, 1984, Original source unknown",NA,10294B,NA,NA,NA,1,1,NA,NA,NA,NA,9.7,%,NA,NA,NA,NA,8510,MG/KG,NA,NA,NA,NA,NA,66,NG/G DW,0.066,143,NG/G DW,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,746,US00015-1,"Metcalf & Eddy, 1984, Original source unknown",NA,10293B,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,19908,PPM,NA,61.2,PPM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,747,US00015-2,"Metcalf & Eddy, 1984, Original source unknown",NA,10295B,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45909,PPM,NA,2673,PPM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,748,US00015-3,"Metcalf & Eddy, 1984, Original source unknown",NA,10292B,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,37882,PPM,NA,911.9,PPM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,749,US00016,"Metcalf & Eddy, 1984, Original source unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,%,NA,NA,NA,0.04,NA,%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,750,US00017,"Metcalf & Eddy, 1984, Original source unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56,%,NA,NA,NA,0.06,NA,%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,751,US00018,"Metcalf & Eddy, 1984, Original source unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21,%,NA,NA,NA,0.08,NA,%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,752,US00019,"Metcalf & Eddy, 1984, Original source unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,753,US00020,"Metcalf & Eddy, 1984, Original source unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,758,US00021,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,Ref-1A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,0.85,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.312,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,759,US00022,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,Ref-2A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,NA,NA,1.35,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,760,US00023,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,Ref-3A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,5.5,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.358,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
